open	close	type	description	rev
02/16/08	02/17/08	done	canceling render by rezooming causes duplicate thumbnail	1.0.00.00
02/16/08	02/17/08	done	document and history must include all settings that affect rendering	1.0.00.00
02/16/08	02/17/08	done	adding thumbnail should scroll list to bottom	1.0.00.00
02/16/08	02/17/08	done	thumbnail should include rectangle around area that was zoomed	1.0.00.00
02/16/08	02/18/08	done	show preview image at start of render if possible	1.0.00.00
02/17/08	02/18/08	done	convert history to a vector of snapshot ref ptrs	1.0.00.00
02/17/08	02/18/08	done	allow file drop and shell open	1.0.00.00
02/17/08	02/18/08	done	add thumbnail after each render that pushed history	1.0.00.00
02/17/08	02/18/08	done	store preview rect in snapshot and draw it in history OnDraw	1.0.00.00
02/16/08	02/19/08	done	movie recording	1.0.00.00
02/17/08	02/19/08	done	StretchBlt frame to back buffer instead of display to speed repaint	1.0.00.00
02/16/08	02/20/08	done	if thumbnail and frame aspect ratios differ, thumbnail is distorted	1.0.00.00
02/19/08	02/20/08	done	scroll view, make fit in window optional	1.0.00.00
02/20/08	02/20/08	done	progress bar makes screen artifacts when sizing scroll view	1.0.00.00
02/20/08	02/20/08	done	frame memcpy could be avoided using buffer swapping	1.0.00.00
02/16/08	02/21/08	done	allow thumbnail size to vary	1.0.00.00
02/16/08	02/21/08	done	thumbnail list should indicate current history position	1.0.00.00
02/20/08	02/21/08	done	in fit in window mode, center zoom doesn't behave as expected 	1.0.00.00
02/20/08	02/21/08	done	drag mode should have continuous preview	1.0.00.00
02/21/08	02/21/08	done	wheel zooming	1.0.00.00
02/21/08	02/21/08	done	history delete	1.0.00.00
02/21/08	02/22/08	done	disable view progress bar during recording	1.0.00.00
02/19/08	02/23/08	done	antialiasing via downsampling	1.0.00.00
02/22/08	02/24/08	done	after canceling render, settings aren't restored to previous values	1.0.00.00
02/21/08	02/25/08	done	zooming or dragging while rendering causes incorrect preview	1.0.00.00
02/25/08	02/25/08	done	compensate for bottom-up DIB by flipping y-axis in engine	1.0.00.00
02/21/08	02/26/08	done	printing and print preview	1.0.00.00
02/16/08	02/27/08	done	multi-core rendering	1.0.00.00
02/16/08	03/05/08	done	full-screen mode	1.0.00.00
02/16/08	03/05/08	done	palette editor	1.0.00.00
02/16/08	03/05/08	done	allow palette to be changed without re-rendering	1.0.00.00
03/06/08	03/06/08	done	give gradient control an eydropper	1.0.00.00
03/05/08	03/09/08	done	palette editor should allow multiple selections	1.0.00.00
03/06/08	03/09/08	done	dragging shade picker's arrow doesn't release capture	1.0.00.00
